periodo;codigo;indice;valor
200702;20250;llegada_pax_nacional;0
200702;20400;llegada_pax_nacional;0
200702;20770;llegada_pax_nacional;0
200702;23001;llegada_pax_nacional;1933
200702;23068;llegada_pax_nacional;0
200702;23189;llegada_pax_nacional;14
200702;23466;llegada_pax_nacional;0
200702;25572;llegada_pax_nacional;0
200702;27001;llegada_pax_nacional;3397
200702;27006;llegada_pax_nacional;396
200702;27075;llegada_pax_nacional;294
200702;27077;llegada_pax_nacional;0
200702;27205;llegada_pax_nacional;256
200702;27495;llegada_pax_nacional;128
200702;41001;llegada_pax_nacional;92
200702;41298;llegada_pax_nacional;0
200702;44001;llegada_pax_nacional;145
200702;44430;llegada_pax_nacional;0
200702;44560;llegada_pax_nacional;0
200702;44847;llegada_pax_nacional;0
200702;47001;llegada_pax_nacional;1472
200702;47245;llegada_pax_nacional;0
200702;47318;llegada_pax_nacional;0
200702;50001;llegada_pax_nacional;5
200702;50568;llegada_pax_nacional;0
200702;50573;llegada_pax_nacional;0
200702;52001;llegada_pax_nacional;224
200702;52022;llegada_pax_nacional;0
200702;52835;llegada_pax_nacional;19
200702;54001;llegada_pax_nacional;791
200702;54498;llegada_pax_nacional;0
200702;63470;llegada_pax_nacional;3
200702;66001;llegada_pax_nacional;2178
200702;68001;llegada_pax_nacional;1587
200702;68081;llegada_pax_nacional;22
200702;68669;llegada_pax_nacional;4973
200702;70215;llegada_pax_nacional;346
200702;70221;llegada_pax_nacional;0
200702;70713;llegada_pax_nacional;0
200702;70717;llegada_pax_nacional;40
200702;70823;llegada_pax_nacional;0
200702;73001;llegada_pax_nacional;451
200702;73168;llegada_pax_nacional;0
200702;73275;llegada_pax_nacional;0
200702;73443;llegada_pax_nacional;0
200702;73449;llegada_pax_nacional;0
200702;76001;llegada_pax_nacional;6625
200702;76109;llegada_pax_nacional;0
200702;76126;llegada_pax_nacional;0
200702;76147;llegada_pax_nacional;0
200702;81001;llegada_pax_nacional;2
200702;81794;llegada_pax_nacional;0
200702;85001;llegada_pax_nacional;1
200702;85225;llegada_pax_nacional;0
200702;85230;llegada_pax_nacional;0
200702;85325;llegada_pax_nacional;8
200702;86568;llegada_pax_nacional;0
200702;86573;llegada_pax_nacional;0
200702;91001;llegada_pax_nacional;80
200702;94001;llegada_pax_nacional;0
200702;95001;llegada_pax_nacional;0
200702;97001;llegada_pax_nacional;0
200702;97666;llegada_pax_nacional;0
200702;99524;llegada_pax_nacional;0
200703;5001;llegada_pax_nacional;24
200703;5031;llegada_pax_nacional;3
200703;5045;llegada_pax_nacional;0
200703;5059;llegada_pax_nacional;703
200703;5147;llegada_pax_nacional;4957
200703;5154;llegada_pax_nacional;1417
200703;5172;llegada_pax_nacional;2
200703;5250;llegada_pax_nacional;514
200703;5284;llegada_pax_nacional;0
200703;5313;llegada_pax_nacional;0
200703;5361;llegada_pax_nacional;0
200703;5475;llegada_pax_nacional;34
200703;5480;llegada_pax_nacional;0
200703;5490;llegada_pax_nacional;69
200703;5579;llegada_pax_nacional;13
200703;5585;llegada_pax_nacional;94
200703;5591;llegada_pax_nacional;163
200703;5604;llegada_pax_nacional;837
200703;5615;llegada_pax_nacional;39
200703;5837;llegada_pax_nacional;132
200703;5847;llegada_pax_nacional;4
200703;5873;llegada_pax_nacional;215
200703;8001;llegada_pax_nacional;4228
200703;8141;llegada_pax_nacional;18
200703;11001;llegada_pax_nacional;56796
200703;13001;llegada_pax_nacional;4230
200703;13430;llegada_pax_nacional;0
200703;13468;llegada_pax_nacional;0
200703;15272;llegada_pax_nacional;0
